,Csize,Comp1,Comp2,Comp3,Comp4,Comp5
TrbdCH010385,26.85944211,-0.058390454,-0.024176173,0.001942408,-0.007584873,0.000261911
TrbdCH010386,23.47695584,-0.041507238,-0.015207574,-0.003315916,0.010232669,-0.028481468
TrbdCH010388,25.49872869,-0.018507186,-0.032493299,0.003528628,-1.09E-05,-0.01281767
TrbdER010373,27.40473249,-0.010080174,-0.002497754,0.008577022,-0.030194655,0.005418505
TrbdMU010001,21.87131287,0.023837564,0.027536382,0.015849702,-0.011356303,-0.002841835
TrbdMU010002,27.88733017,0.037856185,0.014728606,0.02898498,0.013523488,0.011780368
TrbdMU010005,26.60841359,0.019115674,-0.006839713,0.028568101,0.000734057,0.004742894
TrbdWR011003,28.64813599,-0.001122584,-0.012917484,0.00118596,-0.025700567,0.002361391
TrbmOI010106,25.4761831,0.015169571,0.000271831,0.002884386,-0.009284524,-0.001636304
TrbmOI010107,26.11456615,-0.000152554,0.013156613,-0.019334147,-0.004029477,-0.012184934
TrbmOI010108,25.52581217,0.004058803,-0.007400661,0.000859124,0.005558203,-0.011318068
TrckCK010357,23.2737145,0.015250652,0.010977644,0.003587929,-0.004579766,-0.010050448
TrckCK010358,30.63946479,0.010993859,0.011954356,0.005374779,0.002333261,0.007726528
TrckCK010362,28.56405886,-0.018061138,0.016895496,0.015596264,-0.000395695,0.000198888
TrcwCW010335,29.86078944,0.015161476,0.005311404,-0.013874024,0.002598031,0.023457295
TrcwCW010336,34.49030007,-0.022361169,0.016637382,0.00176108,0.002790107,0.019708572
TrcwCW010348,28.72229266,-0.008772502,0.010451118,0.011308533,-0.007677538,0.000850178
TregER010372,27.41543977,-0.010247799,0.005016885,0.004523684,0.007036294,-0.005575839
TregER010374,24.73020576,-0.000141255,-0.008051353,-0.003259732,-0.018125799,0.002342603
TrgcCH010381,27.77231287,-0.035669441,-0.013404379,-0.001050999,0.009264209,0.008727474
TrgcCH010382,27.09193778,-0.010595772,0.008144232,-0.003984192,-0.026091562,-0.001243003
TrgcCH010383,27.83260517,-0.009279899,-0.00217484,-0.006480088,-0.000279971,0.005283591
TrgcCH010384,27.69063843,-0.013876211,0.018255789,-0.013761751,0.00607651,-0.001912472
TrgrDI010008,33.63221193,0.013289763,-0.014606394,-0.013487521,-0.014137068,-0.003838656
TrgrDI010010,27.30291289,0.023554474,-0.004877993,0.006977755,0.015377863,0.004633044
TrgrDI010027,27.48387106,0.029322385,0.014427781,0.015817753,0.01148354,-0.013198229
TrgrOI010109,28.63505817,0.013601814,-0.008715085,0.010516088,0.000785377,0.013651038
TrgrOI010124,27.55262336,0.044304242,-0.033521477,0.007400853,0.001066813,-0.004998797
