"","Comp1","Comp2","Comp3","Comp4","Comp5"
"Tropheops_black_dorsal-CH",-0.0329801955706537,0.0234161966521651,-0.00465569114824171,0.0149444588904574,-0.00632944802294778
"Tropheops_black_dorsal-ER",-0.00556682723240527,-0.00276776920652969,-0.0239533609118064,-0.0132392931907792,-0.0123955287091857
"Tropheops_black_dorsal-MU",0.0290364805711636,-0.023579375459749,-0.00471649263051793,0.00769380279947064,0.00793999268560916
"Tropheops_black_dorsal-WR",0.00327047366593712,0.0135970773702255,-0.0279293696156095,-0.0166630869046842,-0.00045051197472539
"Tropheops_broadmouth-OI",0.0102130964280105,0.000218562436158884,0.00421143111497147,-0.00116579413145264,0.00320521149991995
"Tropheops_chinyamwezi-CW",-0.00165042572967631,-0.00939767165324393,0.00793758089368557,-0.0107011069788729,0.000560672991562971
"Tropheops_chinyankwazi-CK",0.00457378761499756,-0.0135645234806533,-0.000472294554476801,-0.0015874730405096,0.00857836521238468
"Tropheops_gold_chest-CH",-0.0125782075476858,0.00194566368090278,0.00535435756403946,-0.00666284679945503,-0.00350272900450426
"Tropheops_gold-ER",-0.000279663389935394,0.0017574944343325,-0.0040703333744336,-0.00229857371780193,0.00316775399379833
"Tropheops_gracilior-DI",0.0253412150609705,-0.00054873217186773,0.00356925045092654,0.00542831733617341,0.00246089121286001
"Tropheops_gracilior-OP",0.0323005738518898,0.0106861346701246,-0.00104043092786714,0.00609368877364806,-0.000209218715548276
"Tropheops_intermediate-ER",-0.0718950799983422,-0.00981076767953874,-0.021263608187383,-0.00609909469510561,0.0159020981988414
"Tropheops_intermediate-MZ",0.00642143513095437,-0.000514987427685171,-0.00427977611524099,0.00798788280487073,0.00699642401569899
"Tropheops_intermediate-OI",0.0155146715463938,0.0125897499121324,0.0171868592656334,-0.0122472288901112,0.00162796773645249
"Tropheops_intermediate-TW",0.0214158875731915,0.0140070225013915,0.00564255386215205,0.00338987663472769,0.00183262844449255
"Tropheops_lilac-MU",0.0134570119683688,-0.00870965534743692,0.00913457100009772,-0.00526192127898384,0.00603020819301641
"Tropheops_lilac-MZ",-0.0347144069883686,0.033126628828495,0.0078071161999817,0.00072137327824244,-0.00367539257651041
"Tropheops_lilac-OP",0.0135532582661845,-0.00485354741045491,0.00460282200251154,-0.0140958284789364,0.00421797222527323
"Tropheops_lilac-TW",-0.00507942832213052,0.00644946882798122,0.0119763260084551,-9.15787848401899e-05,-0.00117193769471135
"Tropheops_microstoma-OP",0.0317257276738575,0.00490240761618739,5.40281809036181e-06,0.00505003975347753,0.00160994626070648
"Tropheops_orange_chest-ER",-0.059058892759676,-0.0294161756896663,0.013521485681989,0.00537016121644319,-0.0211354589924078
"Tropheops_orange_chest-MZ",-0.00574107302221386,0.00642910753727107,-0.00269786013528081,0.000509939804002319,-0.00720611807556895
"Tropheops_orange_chest-TW",0.00436981866628383,-0.0033264029043698,0.000366559197665826,0.00198059159468665,0.00129504951154552
"Tropheops_red_cheek-TW",-0.00958391465721382,0.00764133373734492,0.00296827455201801,0.0114267511857984,0.000845640692861544
"Tropheops_white_dorsal-NM",-0.0141672638929126,-0.00876277324931604,-0.00521998140696529,0.0298306583645346,0.00686654850570839
"Tropheops_zebra-MU",0.0578558452285055,-0.0126040842996901,-0.013430840817882,0.00363880959565005,-0.0193505801025573
"Tropheops_zimbawe-ZR",-0.0157539041354944,-0.00891038222451138,0.0194454492134872,-0.0139525251406504,0.00228955248793492
