TPSord,Spec,ID,no,Species,Locality,LocalityName,SpeciesLocID,PhyloName,Depth,SpecimenID,VomerRadians,Csize
37,01-0385,TrbdCH010385,385,Tropheops_black_dorsal,CH,Chiofu Bay,Tropheops_black_dorsal-CH,Tropheops_black_dorsal-CH,S,TrbdCH010385,1.558299769,23.66511319
38,01-0386,TrbdCH010386,386,Tropheops_black_dorsal,CH,Chiofu Bay,Tropheops_black_dorsal-CH,Tropheops_black_dorsal-CH,S,TrbdCH010386,1.565857045,19.42016978
56,01-388,TrbdCH010388,388,Tropheops_black_dorsal,CH,Chiofu Bay,Tropheops_black_dorsal-CH,Tropheops_black_dorsal-CH,S,TrbdCH010388,1.559294607,20.78456906
29,01-0373,TrbdER010373,373,Tropheops_black_dorsal,ER,Eccles Reef,Tropheops_black_dorsal-ER,Tropheops_black_dorsal-ER,S,TrbdER010373,1.824759186,22.88072348
57,Pt. bd 1 M..pts,TrbdMU010001,1,Tropheops_black_dorsal,MU,Mumbo Island,Tropheops_black_dorsal-MU,Tropheops_black_dorsal-MU,D,TrbdMU010001,1.840659136,17.96312495
58,Pt. bd 2 M..pts,TrbdMU010002,2,Tropheops_black_dorsal,MU,Mumbo Island,Tropheops_black_dorsal-MU,Tropheops_black_dorsal-MU,D,TrbdMU010002,1.679530339,23.83313786
59,Pt. bd 5 M..pts,TrbdMU010005,5,Tropheops_black_dorsal,MU,Mumbo Island,Tropheops_black_dorsal-MU,Tropheops_black_dorsal-MU,D,TrbdMU010005,1.85860112,22.06910761
40,01-1003,TrbdWR011003,1003,Tropheops_black_dorsal,WR,West Reef,Tropheops_black_dorsal-WR,Tropheops_black_dorsal-WR,S,TrbdWR011003,1.670506987,23.7608718
1,01-0106,TrbmOI010106,106,Tropheops_broadmouth,OI,Otter Island,Tropheops_broadmouth-OI,Tropheops_broadmouth-OI,D,TrbmOI010106,1.913125206,22.13089843
2,01-0107,TrbmOI010107,107,Tropheops_broadmouth,OI,Otter Island,Tropheops_broadmouth-OI,Tropheops_broadmouth-OI,D,TrbmOI010107,1.884676339,21.00782022
3,01-0108,TrbmOI010108,108,Tropheops_broadmouth,OI,Otter Island,Tropheops_broadmouth-OI,Tropheops_broadmouth-OI,D,TrbmOI010108,1.72888825,21.54740878
25,01-0357,TrckCK010357,357,Tropheops_chinyankwazi,CK,Chinyankwazi,Tropheops_chinyankwazi-CK,Tropheops_chinyankwazi-CK,S,TrckCK010357,1.651622524,19.21929094
26,01-0358,TrckCK010358,358,Tropheops_chinyankwazi,CK,Chinyankwazi,Tropheops_chinyankwazi-CK,Tropheops_chinyankwazi-CK,S,TrckCK010358,1.622684965,27.04022817
27,01-0362,TrckCK010362,362,Tropheops_chinyankwazi,CK,Chinyankwazi,Tropheops_chinyankwazi-CK,Tropheops_chinyankwazi-CK,S,TrckCK010362,1.659930292,23.8049832
22,01-0335,TrcwCW010335,335,Tropheops_chinyamwezi,CW,Chinyamwezi,Tropheops_chinyamwezi-CW,Tropheops_chinyamwezi-CW,S,TrcwCW010335,1.669320163,25.05028823
23,01-0336,TrcwCW010336,336,Tropheops_chinyamwezi,CW,Chinyamwezi,Tropheops_chinyamwezi-CW,Tropheops_chinyamwezi-CW,S,TrcwCW010336,1.72066775,28.72104641
24,01-0348,TrcwCW010348,348,Tropheops_chinyamwezi,CW,Chinyamwezi,Tropheops_chinyamwezi-CW,Tropheops_chinyamwezi-CW,S,TrcwCW010348,1.682514852,22.91045657
28,01-0372,TregER010372,372,Tropheops_gold,ER,Eccles Reef,Tropheops_gold-ER,Tropheops_gold-ER,S,TregER010372,1.709759442,22.4351538
30,01-0374,TregER010374,374,Tropheops_gold,ER,Eccles Reef,Tropheops_gold-ER,Tropheops_gold-ER,S,TregER010374,1.57945316,20.95275259
33,01-0381,TrgcCH010381,381,Tropheops_gold_chest,CH,Chiofu Bay,Tropheops_gold_chest-CH,Tropheops_gold_chest-CH,S,TrgcCH010381,1.638724541,23.64815989
34,01-0382,TrgcCH010382,382,Tropheops_gold_chest,CH,Chiofu Bay,Tropheops_gold_chest-CH,Tropheops_gold_chest-CH,S,TrgcCH010382,1.614377198,20.96782391
35,01-0383,TrgcCH010383,383,Tropheops_gold_chest,CH,Chiofu Bay,Tropheops_gold_chest-CH,Tropheops_gold_chest-CH,S,TrgcCH010383,1.67476559,23.57242307
36,01-0384,TrgcCH010384,384,Tropheops_gold_chest,CH,Chiofu Bay,Tropheops_gold_chest-CH,Tropheops_gold_chest-CH,S,TrgcCH010384,1.558317223,22.52701482
